id,headline,ethicality_0_10,visibility_0_10,accountability_0_10,assessment_basis,rationale
1,Russian sniper kills elderly man in Mariupol district,1,5,9,headline_only_unverified,Alleged fatal violence; visibility reduced: state-as-actor sensational phrasing.
2,Russian forces strike civilians near school in northern Kharkiv,1,7,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
3,Russian airstrike on a vehicle in Kyiv suburb,2,6,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
4,Summary execution of Oleksiy Bondarenko in Bucha detention facility,0,4,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
5,"Deadly coordinated Russian soldier and militia attacks on Izium, Balakliia and Lyman",1,5,9,headline_only_unverified,Alleged fatal violence; visibility reduced: ambiguous militia attribution.
6,Russia bombs a mourning gathering in Kramatorsk,1,5,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility reduced: state-as-actor sensational phrasing.
7,Russia kills man gathering firewood in Zaporizhzhia,1,5,9,headline_only_unverified,Alleged fatal violence; visibility reduced: state-as-actor sensational phrasing.
8,Young man killed by Russian gunfire in Kherson,1,6,9,headline_only_unverified,Alleged fatal violence; visibility moderate: unverified but less overtly fabricated from headline alone.
9,Child killed in Russian strike near Kharkiv police station,0,6,10,headline_only_unverified,Alleged fatal violence; visibility reduced: emotionally charged child-casualty claim.
10,Russia murders local police officer in Mariupol,0,4,9,headline_only_unverified,Alleged fatal violence; visibility reduced: loaded wording; state-as-actor sensational phrasing.
11,Summary execution of Vasyl Kovalenko during a raid on Sumy,0,3,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
12,Piracy and abduction of crew members of the Black Sea Convoy (April-May 2022),2,2,8,headline_only_unverified,Alleged detention/abduction/raid; visibility reduced: specific named-victim claim; implausible or highly specific label.
13,Summary execution of Mykola Petrenko during a home invasion in Irpin,0,3,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
14,"Summary execution of Dmytro Savchenko, 15, in Donetsk occupied zone",0,2,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; emotionally charged child-casualty claim; grave accusation without source details.
15,"Summary execution of the young student Andriy Moroz, 15, in Chernihiv",0,2,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; emotionally charged child-casualty claim; grave accusation without source details.
16,"Murder of Taras Koval, 16 y/o in a vehicle ramming attack",0,3,10,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; emotionally charged child-casualty claim.
17,Russian troops attack on the Sloviansk Primary School,1,5,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
18,Late night massacre of 3 young men in Zaporizhzhia,0,6,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
19,Russia kills 17-year-old and 3 other Ukrainians in northern Kharkiv,0,4,10,headline_only_unverified,Alleged fatal violence; visibility reduced: emotionally charged child-casualty claim; state-as-actor sensational phrasing.
20,Assassination of Ivan Sydorenko by militia in Lyman,0,3,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; ambiguous militia attribution; grave accusation without source details.
21,Massacre at Government Sites in Gorazde,0,4,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
22,Russia murders journalist in Zaporizhzhia,0,4,10,headline_only_unverified,Alleged harm to protected civilians/sites; visibility reduced: loaded wording; state-as-actor sensational phrasing.
23,'Eternal Darkness' Russian military operation on Moldova border,2,3,7,headline_only_unverified,Serious conflict-related allegation; visibility reduced: implausible or highly specific label.
24,Russia bombs a security checkpoint in Kherson,3,5,7,headline_only_unverified,Serious conflict-related allegation; visibility reduced: state-as-actor sensational phrasing.
25,Russia destroys the historic Synagogue of Lviv,2,3,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility reduced: implausible or highly specific label.
26,"Murder of Marta Kovalchuk, 68, during a home invasion",0,4,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim.
27,Russia bombs a security checkpoint in Odessa,3,4,7,headline_only_unverified,Serious conflict-related allegation; visibility reduced: state-as-actor sensational phrasing.
28,Young boy killed by Russian airstrike on Zaporizhzhia,0,6,10,headline_only_unverified,Alleged fatal violence; visibility reduced: emotionally charged child-casualty claim.
29,Russian gunfire kills woman in Kherson,1,5,9,headline_only_unverified,Alleged fatal violence; visibility reduced: state-as-actor sensational phrasing.
30,Russian drones kill a young woman in the Kramatorsk camp,1,6,9,headline_only_unverified,Alleged fatal violence; visibility moderate: unverified but less overtly fabricated from headline alone.
31,Russia strikes civilians in the Irpin district,2,6,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
32,Midnight massacre in the Saltivka neighborhood,0,5,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
33,Russian airstrike on Sloviansk Hospital killing two paramedics,0,4,10,headline_only_unverified,Alleged harm to protected civilians/sites; visibility reduced: specific named-victim claim.
34,Massacre at police checkpoint in Mykolaiv,0,5,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
35,"Airstrike on a press vehicle in eastern Ukraine, killing 3 journalists",0,6,10,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
36,Drone strike kills freed prisoner Kagabo Nzeyimana,1,4,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim.
37,Gasabo brothers killed by government-backed militias,1,5,9,headline_only_unverified,Alleged fatal violence; visibility moderate: unverified but less overtly fabricated from headline alone.
38,Forces execute aid-seeking teen Habimana Uwimana,2,5,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
39,"Summary execution of Ndayisaba Mugisha, 15, in Kigali",0,2,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; emotionally charged child-casualty claim; grave accusation without source details.
40,Special forces shot and abducted a driver in Butare,2,5,8,headline_only_unverified,Alleged detention/abduction/raid; visibility moderate: unverified but less overtly fabricated from headline alone.
41,Assassination of Nkurunziza Bizimana by militias in Cyangugu,0,3,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; grave accusation without source details.
42,Assassination of Hakizimana Ruzibiza in Kibuye by soldiers and militia,0,3,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; grave accusation without source details.
43,Detention and torture of infant Kayitesi Mukamusoni,0,4,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim.
44,Airstrike on a residential apartment in the Nyarugenge district of Kigali,2,6,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
45,Militia vehicle attack in Gitarama,2,5,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
46,Murder of Serhiy Bondarenko by militia during a pogrom in Kherson village,0,3,9,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; loaded wording; ambiguous militia attribution.
47,Russian campaign against Dnipro bridges to prevent the population from returning,2,5,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
48,"Massacre of 12 healthcare workers in Izium district, Eastern Ukraine",0,4,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
49,Murder of Dmytro Tkachenko by militia during a pogrom in Zaporizhzhia,0,3,9,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; loaded wording; ambiguous militia attribution.
50,Summary execution of 2 men at the Bakhmut checkpoint,0,5,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
51,2 tent camp massacres in Kharkiv and Kramatorsk (Day 880),0,4,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: implausible or highly specific label.
52,Targeted assassination of Father Vasyl Holovatyi in Bucha,0,4,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; grave accusation without source details.
53,Russian artillery shelling on displacement tents in Sloviansk,1,6,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
54,3 deaths in a pogrom in Mykolaiv village,0,4,9,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: loaded wording.
55,Assassination of Oleksandr Kovalenko killed by militia in Kherson region,0,3,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; ambiguous militia attribution; grave accusation without source details.
56,Massacre of the Petrenko family in Mariupol,0,6,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
57,Russian special operation in Novoazovsk killed 41 civilians,1,5,9,headline_only_unverified,Alleged fatal violence; visibility moderate: unverified but less overtly fabricated from headline alone.
58,Russian strikes on Donetsk city kill at least 9,1,6,9,headline_only_unverified,Alleged fatal violence; visibility moderate: unverified but less overtly fabricated from headline alone.
59,Systematic attack on Ukrainian healthcare workers and hospitals,1,5,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
60,Educide in Ukraine by Russian forces,2,5,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
61,Assassination of Serhiy and Mykhailo Bondarenko by a soldier in Kherson,0,4,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; grave accusation without source details.
62,Summary execution of Taras Kovalenko in Bucha district,0,4,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
63,Massacre of the Shevchenko girls' school in Mariupol,0,6,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
64,Assassination of Oksana Petrenko in Zaporizhzhia village,0,4,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; grave accusation without source details.
65,Pogrom in Izium district,2,5,7,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: loaded wording.
66,Attacks and ethnic cleansing in Foca,0,6,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
67,Three Bosnian civilians shot by Serbian forces in Brcko,2,6,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
68,Raid and campaign of arrest in Srebrenica,2,6,8,headline_only_unverified,Alleged detention/abduction/raid; visibility moderate: unverified but less overtly fabricated from headline alone.
69,Ethnic cleansing of Kozarac area of Prijedor,0,6,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
70,Summary execution of Selimovic Edin (18) in Banja Luka,0,3,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
71,Raid and campaign of arrest in Zvornik,2,5,8,headline_only_unverified,Alleged detention/abduction/raid; visibility moderate: unverified but less overtly fabricated from headline alone.
72,"Assassination of Mujanovic Damir, 19, in Donja Gradina",0,3,9,headline_only_unverified,Alleged fatal violence; visibility reduced: specific named-victim claim; grave accusation without source details.
73,Massacre of the Huseinovic family in Foca,0,6,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
74,Massacre of the Kovacevic family in Sarajevo,0,6,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
75,Massacre of civilians near the Bihac bridge intersection,0,6,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility moderate: unverified but less overtly fabricated from headline alone.
76,Militia attack on a Christian family in Irpin,2,4,7,headline_only_unverified,Serious conflict-related allegation; visibility reduced: ambiguous militia attribution.
77,Recurring pogroms in the Bucha district of Kyiv,2,5,7,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: loaded wording.
78,Russian soldiers storm a wedding hall in Kherson,1,6,9,headline_only_unverified,Alleged fatal violence; visibility moderate: unverified but less overtly fabricated from headline alone.
79,Night attack on school facilities in Izium,1,6,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility moderate: unverified but less overtly fabricated from headline alone.
80,Siege on Mariupol port district,2,7,7,headline_only_unverified,Serious conflict-related allegation; visibility moderate: unverified but less overtly fabricated from headline alone.
81,Raid on Kharkiv State University,1,2,8,headline_only_unverified,Alleged harm to protected civilians/sites; visibility reduced: duplicate headline; specific named-victim claim.
82,Militia assault on the village of Lyman,2,5,7,headline_only_unverified,Serious conflict-related allegation; visibility reduced: ambiguous militia attribution.
83,Military raid on Kramatorsk and Soledar,2,6,7,headline_only_unverified,Alleged detention/abduction/raid; visibility moderate: unverified but less overtly fabricated from headline alone.
84,Russian raid on Ukrainian universities (Eastern Ukraine),2,4,7,headline_only_unverified,Alleged detention/abduction/raid; visibility reduced: specific named-victim claim.
85,Violent soldiers and militia attack in the outskirts of Donetsk village,1,4,9,headline_only_unverified,Alleged fatal violence; visibility reduced: ambiguous militia attribution.
86,Bloody pogrom in Mykolaiv district,2,1,7,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: duplicate headline; loaded wording.
87,Extrajudicial executions during 'Operation East Wind' in Kharkiv,0,1,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: duplicate headline; specific named-victim claim; implausible or highly specific label.
88,"Summary execution of Pavlo Sydorenko, 18, and Olena Kovalenko, 16 in Irpin",0,3,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
89,Summary execution of Mykhailo Tkachuk,0,3,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
90,"Summary execution of Andriy Petrenko, 17",0,3,10,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: specific named-victim claim; grave accusation without source details.
91,Pogroms in the Zaporizhzhia industrial zone between Berdiansk and Melitopol,2,5,7,headline_only_unverified,Alleged atrocity or systematic violence; visibility reduced: loaded wording.
92,House assaulted and set on fire during a raid on Bijeljina town,2,6,7,headline_only_unverified,Alleged detention/abduction/raid; visibility moderate: unverified but less overtly fabricated from headline alone.
93,Deadly raid in Zvornik and Brcko,1,6,9,headline_only_unverified,Alleged fatal violence; visibility moderate: unverified but less overtly fabricated from headline alone.
