News Title,My Ground Truth,ChatGPT,Claude,Gemini
Meta captures employee mouse movements to train AI models,2,3,3,4
Chinese AI actors spark personality rights controversy,3,4,4,5
Driverless car starts to pull away after being stopped by police,2,3,4,3
AI chatbots lure vulnerable gamblers to unlicensed betting websites,1,1,1,1
ChatGPT accused of enabling Florida State University mass shooting,0,1,2,1
"Meta, YouTube found liable for addicting child to social media",,2,1,2
ChatGPT advises exec on how to fire company founders to avoid payout,2,2,4,3
Welshman kills mother with sledgehammer after speaking to Discord AI bot,0,1,1,0
Google AI search summaries give cancer patients wrong advice,0,1,1,1
Meta AI agent leaks sensitive company and user data,1,2,2,2
AI error sees innocent Tennessee grandmother jailed for six months,0,1,1,0
AI agent hacks McKinsey employee chatbot,2,2,2,2
"Paraná school attendance facial recognition system criticised as ""invasive"", ""noxious",1,3,2,4
Advance UK secretly uses fake AI influencer to post anti‑immigrant content,1,1,1,2
"Critics slam ""exploitative"" Washington Post AI personalised pricing",3,3,3,4
Princeton Review charges Asian Americans more for SAT tutoring,2,2,1,1
Amazon charges local school districts different prices for same supplies,2,4,3,3
Sony PlayStation game dynamic pricing test sparks backlash,3,5,6,5
"Grok generates offensive posts about Hillsborough, Heysel football disasters",2,3,2,2
Tesla Cybertruck attempts to drive off Houston overpass,3,1,2,1
"Polymarket traders weaponise AI-generated Iran ""war slop",1,2,2,3
Iran war with Iran monetised by online creators using AI disinformation,0,1,1,1
"DOGE uses ChatGPT to cancel ""woke"" U.S. government humanities grants",3,2,3,3
"Grammarly AI ""Expert Review"" rapped for unauthorised use of expert identities",2,3,2,3
OpenAI accused of using ChatGPT to act as unlicensed lawyer,2,2,3,2
AI chat app exposes 300 million private messages,0,1,1,1
AI-powered spyware used to track Italian journalists,0,0,0,0
AI systems used to conduct sexual violence against 1 in 5 Brazilian children,0,0,0,0
Meta AI smart glass videos secretly shared with overseas contractors,2,2,2,2
Gemini allegedly 'coached' Jonathan Gavalas to commit suicide,0,0,0,0
Sacked UK gaming journalists misleadingly replaced with AI writers,4,4,3,4
Bengaluru techie fires cook after AI monitoring system catches her stealing fruit,6,5,4,5
Pentagon uses Anthropic's Claude to plan and support Iran airstrikes,0,1,2,1
Tenerife lawyer fined for multiple AI-generated legal citations,3,3,4,3
Waymo blocks ambulance from reaching Austin mass shooting,0,1,1,1
Samsung smart TVs ruled to have violated customers' privacy,1,2,2,2
Ford recalls 4.4 million vehicles over faulty automated trailer software,3,2,4,2
Radnor High School hit by fake AI sexualised images of students,0,0,0,0
"Google BAFTA automated news alert includes ""N-word",1,3,3,2
"Hacker used Claude, ChatGPT to steal Mexican government data",0,1,1,1
British Bangladeshi man wrongfully arrested for theft after facial recognition error,0,1,1,1
Chester grandfather wrongly accused of theft after Home Bargains facial scan,0,2,2,2
Study: ChatGPT Health fails critical emergency and suicide tests,0,1,1,1
"AI system directs Amazon delivery van on to ""dangerous"" mudflats",1,3,3,3
Pentagon uses Anthropic's Claude to capture Venezuela president Maduro,0,1,2,1
OpenClaw AI agent deletes Meta engineer's emails,3,4,5,4
ICE facial recognition app misidentifies woman twice,0,1,1,1
Actress accuses Albanian government of abusing her voice and image,2,3,1,3
"Unprompted, Grok exposes porn worker's legal name and birthday",3,1,1,1
Thailand suspends Worldcoin iris-scanning operations,2,2,3,2
Amazon AI coding bot causes AWS China outage,2,3,4,3
Fidesz causes outcry with divisive AI-generated political video,3,2,2,2
Korean woman accused of using ChatGPT to plan murders,4,1,2,1
AI-generated code error results in USD 1.8m smart contract loss,3,3,4,3
ICE AI tool sends recruits into field offices without proper training,3,2,2,2
Innocent customer thrown out of supermarket after facial recognition alert,1,2,2,2
Study: Sora 2 generates false claim videos 80 percent of the time,3,2,1,2
Infostealer malware steals OpenClaw AI assistant data,1,1,2,1
"AI agent tricked into sharing 45,000 financial services customer records",1,1,2,1
"AI-powered Ring doorbell dog finder blasted as ""creepy",4,5,5,5
AI-powered U.S. private school generates faulty lessons,3,3,3,3
"Businessman castigated for ""dehumanised"" AI-generated Glasgow mural",3,5,5,5
German broadcaster publishes fake AI US immigration videos,1,2,2,2
Royal School Armagh students targeted with explicit AI images,0,0,0,0
Google accused of stealing David Green's voice for NotebookLM,2,3,2,3
